date	agegroup	sari_covid19_incidence
2021-W26	80+	0.3
2021-W26	00+	0.3
2021-W27	60-79	0.2
2021-W27	80+	0.0
2021-W27	00+	0.2
2021-W28	60-79	0.4
2021-W28	80+	0.8
2021-W28	00+	0.4
2021-W29	60-79	0.2
2021-W29	80+	0.8
2021-W29	00+	0.6
2021-W30	60-79	0.5
2021-W30	80+	0.0
2021-W30	00+	0.4
2021-W31	60-79	0.9
2021-W31	80+	1.7
2021-W31	00+	1.1
2021-W32	60-79	2.0
2021-W32	80+	1.7
2021-W32	00+	1.7
2021-W33	60-79	1.8
2021-W33	80+	2.5
2021-W33	00+	1.7
2021-W34	60-79	2.3
2021-W34	80+	4.2
2021-W34	00+	3.3
2021-W35	60-79	3.3
2021-W35	80+	5.0
2021-W35	00+	3.3
2021-W36	60-79	2.5
2021-W36	80+	4.8
2021-W36	00+	3.2
2021-W37	60-79	3.9
2021-W37	80+	5.0
2021-W37	00+	3.1
2021-W38	60-79	4.2
2021-W38	80+	5.6
2021-W38	00+	2.9
2021-W39	60-79	3.5
2021-W39	80+	6.2
2021-W39	00+	2.8
2021-W40	60-79	3.5
2021-W40	80+	7.3
2021-W40	00+	3.0
2021-W41	60-79	3.8
2021-W41	80+	9.5
2021-W41	00+	3.2
2021-W42	60-79	9.1
2021-W42	80+	22.4
2021-W42	00+	6.0
2021-W43	60-79	13.2
2021-W43	80+	30.9
2021-W43	00+	7.9
2021-W44	60-79	16.6
2021-W44	80+	34.2
2021-W44	00+	9.3
2021-W45	60-79	15.7
2021-W45	80+	41.8
2021-W45	00+	10.3
2021-W46	60-79	21.2
2021-W46	80+	55.3
2021-W46	00+	13.1
2021-W47	60-79	22.2
2021-W47	80+	54.4
2021-W47	00+	14.0
2021-W48	60-79	24.8
2021-W48	80+	46.6
2021-W48	00+	14.2
2021-W49	60-79	22.9
2021-W49	80+	42.6
2021-W49	00+	13.0
2021-W50	60-79	16.2
2021-W50	80+	32.0
2021-W50	00+	9.8
2021-W51	60-79	9.8
2021-W51	80+	19.1
2021-W51	00+	5.7
2021-W52	60-79	5.5
2021-W52	80+	16.0
2021-W52	00+	4.3
2022-W01	60-79	10.0
2022-W01	80+	16.7
2022-W01	00+	5.9
2022-W02	60-79	8.2
2022-W02	80+	12.7
2022-W02	00+	4.7
2022-W03	60-79	5.0
2022-W03	80+	16.5
2022-W03	00+	4.4
